 ,DF,TEST,Thema / Kategorie,Name Intent / Problem,Eltern-Intent,Grundlegende Fragestellungen,Alternative Frageformulierungen (Training Phrases),Antwort (Textform),Antwort (Verweis / URL),Quelle,Kommentare
1,FALSE,TRUE,bwCloud,Wissen_bwCloud,,Was ist die bwCloud?,"Was kann die bwCloud?
Wofür brauche ich die bwCloud?","Die bwCloud ist ein IaaS-Angebot und wird betrieben für Forschung und Lehre in Baden-Württemberg. Mit der bwCloud können virtuelle Server oder Maschinen erzeugt, gestartet und betrieben werden. Als Lehrende oder Studierende der HdM Stuttgart ist man berechtigt, dieses Angebot zu nutzen. \n Hier findest Du weitere Informationen: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virtuelle_maschinen, https://www.bw-cloud.org/de/ ","https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virtuelle_maschinen
https://www.bw-cloud.org/de/","https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#virtuelle_maschinen
https://www.bw-cloud.org/de/",Link ersetzt
2,FALSE,TRUE,bwCloud,Nutzung_bwCloud,,Wie funktioniert die bwCloud?,"Was brauche ich zum Cloud Computing?
Welche Voraussetzungen gibt es für das Cloud Computing?",Wie die bwCloud funktioniert und wie Du darauf zugreifen kannst erfährst Du hier: https://www.bw-cloud.org/de/erste_schritte,https://www.bw-cloud.org/de/erste_schritte,https://www.bw-cloud.org/de/erste_schritte,
3,FALSE,TRUE,bwCloud,Installation_bwCloud,,Wie installiere ich die bwCloud?,"Was muss ich bei der Installation der bwCloud beachten?
Wie lade ich die BwCloud herunter?","Um die bwCloud nutzen zu können, musst Du dich beim bwIDM (Föderatives Identitätsmanagement der baden-württembergischen Hochschulen) registrieren. Weitere Vorbereitungen findest Du unter: https://www.bw-cloud.org/de/erste_schritte",https://www.bw-cloud.org/de/erste_schritte,https://www.bw-cloud.org/de/erste_schritte,
4,FALSE,TRUE,bwCloud,Problem_bwCloud,,Ich habe ein Problem mit der bwCloud.,"Die bwCloud funktioniert nicht.
Meine installierte Software in der bwCloud funktioniert nicht.
Ich kann die bwCloud nicht installieren.",Bei Problemen mit Instanzen kannst Du unter https://www.bw-cloud.org/de/faq/instanzen nachsehen. Bei Problemen mit der Software findest Du hier Hilfe: https://www.bw-cloud.org/de/faq/software,"https://www.bw-cloud.org/de/faq/instanzen
https://www.bw-cloud.org/de/faq/software","https://www.bw-cloud.org/de/faq/instanzen
https://www.bw-cloud.org/de/faq/software",
5,FALSE,TRUE,bwLehrpool,Wissen_bwLehrpool,,Was ist bwLehrpool?,"Was kann ich mit bwLehrpool machen?
Wieso sollte ich bwLehrpool nutzen?","bwLehrpool ist ein Kooperationsprojekt der Universität Freiburg und der Hochschule Offenburg. Das Projekt wird vom Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg gefördert und unterstützt. Ermöglicht werden die flexible und effiziente Bereitstellung von virtuellen Lehr- und Laborumgebungen in PC-Poolräumen der Hochschulen, sowie die hochschulübergreifende Zusammenarbeit bei deren Entwicklung. bwLehrpool bietet Dozierenden an Hochschulen und Universitäten in Baden-Württemberg die Möglichkeit, schnell, einfach und unabhängig von Dritten personalisierte Lehrumgebungen für Studierende bereitzustellen. Grundlage dafür sind die heutigen Möglichkeiten der Virtualisierung und die zumeist stark ausgebaute IT-Infrastruktur von Hochschul-Rechenzentren. Weitere Infos findest Du hier: https://www.bwlehrpool.de/ ",https://www.bwlehrpool.de,https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,Der Link wird nicht in den Intent übernommen
6,FALSE,TRUE,bwLehrpool,Start_bwLehrpool,,Was muss ich vor der Nutzung von bwLehrpool beachten?,"Wo bekomme ich Zugang zum bwLehrpool?
Wie installiere ich bwLehrpool?
Welche Systemvoraussetzungen gibt es für den bwLehrpool","Informationen zum Zugang, der Installation und den Systemvorraussetzungen für bwLehrpool findest Du unter https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool",https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,
7,FALSE,TRUE,bwLehrpool,Nutzung_bwLehrpool,,Wie nutze ich bwLehrpool richtig?,"Wie funktioniert der bwLehrpool?
Wie kann ich eine virtuelle Lehrumgebung bauen?","1. Auswahl Start bwLehrpool oder lokale Installation \n Beim Start eines PCs in den PC-Pools erscheint für mehrere Sekunden ein Auswahlmenü. Hier kann der Benutzer entscheiden, ob er bwLehrpool oder die lokale Installation starten möchte. \n Nach Auswahl von bwLehrpool erscheint eine Anmeldemaske.  Hier musst Du sich mit dem bekannten HdM-Accounts einloggen. \n 2. VMChooser – Auswahl der zu startenden bwLehrpool-Veranstaltung \n Nach dem Einloggen erscheint der sogenannte „VMChooser“. Eine Oberfläche in der der Benutzer die zu diesem Zeitpunkt in diesem Raum verfügbaren Images auswählen und starten kann. \n Aus Datenschutzgründen ist mittels Setzen eines Häkchens die Teilnahme am Pool-Video-Switch vom Benutzer zu bestätigen. Er kann dies aber ebenso nach Start des Images über ein ausklappbares Menü am oberen Bildschirmrand nachholen. Weitere Informationen findest Du unter https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool",https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,
8,FALSE,TRUE,bwLehrpool,Anwender_bwLehrpool,,Kann ich den bwLehrpool nutzen?,"Wer kann den bwLehrpool nutzen?
Wo gibt es den bwLehrpool?",Anmelden können sich aktuell Mitarbeiter und Professoren der HdM. Herunterladen kannst Du die bwLehrpool Suite hier: https://bwlp-masterserver.ruf.uni-freiburg.de/dozmod/,https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,https://www.hdm-stuttgart.de/intranet/services/iz-it/bwLehrpool,
9,FALSE,TRUE,bwLehrpool,PVS_bwLehrpool,,Was ist der Pool-Video-Switch?,"Wie steuere ich den PVS?
Ich habe ein Problem mit dem Pool-Video-Switch.",Bei Fragen und Problemen bezüglich des Pool-Video-Switch (PVS) findest Du hier einige Lösungen: https://www.bwlehrpool.de/wiki/doku.php/client/poolvideoswitch,https://www.bwlehrpool.de/doku.php/client/poolvideoswitch,https://www.bwlehrpool.de/doku.php/client/poolvideoswitch,
10,FALSE,TRUE,IT,Zustaendigkeit_CampusIT,,Was macht die Campus IT?,"Was sind die Services der Campus IT?
Für was ist die Campus IT verantwortlich?
",Alle Verantwortlichkeiten der Campus IT findest Du unter https://www.hdm-stuttgart.de/intranet/services/it/servicekatalog,https://www.hdm-stuttgart.de/intranet/services/it/servicekatalog,https://www.hdm-stuttgart.de/intranet/services/it/servicekatalog,Link geändert
11,FALSE,TRUE,IT,Servicezeiten_CampusIT,,Wann erreiche ich die Campus IT?,"Wann hat die IT auf dem Campus geöffnet?
Was sind die Betriebszeiten der Campus IT?","Betriebszeiten (Wenn nicht anders angegeben): \n 24/7 exkl. geplanter Wartungsarbeiten \n \n Servicezeiten: \n Mo. – Fr.  8.00 – 15.30 Uhr, \n exkl.  Feiertage und Wochenende \n \n Wartungsfenster: \n Werden je nach Bedarf eingeplant und rechtzeitig mitgeteilt. \n \n Generelle Informationen gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/#Servicezeiten",https://www.hdm-stuttgart.de/intranet/services/it/#Servicezeiten,https://www.hdm-stuttgart.de/intranet/services/it/#Servicezeiten,
12,FALSE,TRUE,IT,Abteilungen_IT,,Welche IT-Abteilungen gibt es?,"An wen wende ich mich bei IT-Fragen?
Wer sind die IT Ansprechpartner?
Wen kann ich bei Problemen um Hilfe bitten?",Du findest unter https://www.hdm-stuttgart.de/intranet/services/it/ansprechpartner_bei_it_problemen alle Ansprechpartner zur IT der Hochschule.,https://www.hdm-stuttgart.de/intranet/services/it/#Service%20Kategorien,https://www.hdm-stuttgart.de/intranet/services/it/#Service%20Kategorien,
13,FALSE,FALSE,Filestore,Wissen_Filestore,,Was ist der Filestore?,"Gibt es eine zentrale Dateiablage für die die HdM?
Wie heißt die zentrale Dateiablage für die HdM?","Der HdM Filestore ist eine zentrale Datenablage, die Du zum Austausch von Dateien kostenfrei verwenden kannst. Auf Basis der Software ownCloud können Benutzer via Browser, WebDAV- oder Sync-Client jederzeit und überall auf ihre Daten zugreifen. Daneben dient die Software als Portal zu weiteren (S)FTP- und Fileservern im Haus. Mehr Informationen gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#datenablage ",https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#datenablage,,Link geändert
14,FALSE,TRUE,Filestore,Anwendung_Filestore_Teilen,,Wie teilt man Dateien mit Filestore?,"Wie teilt man Dateien per Mail?
Wie teilt man Dateien als Link?
Wie kann ich meine Dateien für andere Filestore Nutzer 
verfügbar machen?","Der Webzugang stellt den primären und vollumfassendsten Zugang dar. Hierüber können Dateien, Ordner und Freigaben verwaltet sowie auf Papierkorb und ältere Dateiversionen zugegriffen werden. \n Der Filestore ist zu erreichen unter: https://filestore.hdm-stuttgart.de \n Du kannst Dateien mit anderen FileStore-Nutzern oder per E-Mail teilen. Gehe dafür auf das Teilen-Symbol rechts neben der Datei/dem Ordner. Im Menü auf der rechten Seite kannst Du nun auswählen, ob Du die Datei/den Ordner mit anderen Filestore-Nutzern/Gruppen teilen willst oder ob du per Link teilen möchtest. \n In der Eingabemaske kannst Du hierbei nur jeweils einen Namen (Account oder Gruppe) eintragen. Wenn Du mehrere Einträge vornehmen möchten, gebe diese einen nach dem anderen ein (eine Eingabe einer Liste ist nicht möglich). \n \n Du kannst nur eigene Dateien/Ordner teilen oder solche, die für Dich zum Teilen freigegeben wurden. \n
Details zum Filestore gibt es hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage ",https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage,,Der Link wird nicht in den Intent übernommen
